doc_id,doc_id_unique,ent_text,target
My_pdf680_method,My_pdf680_method_25_186,Adult female Sprague-Dawley rats were anesthetized with ketamine (80 mg/kg) and xylazine (10 mg/kg) and a laminectomy performed over the upper lumbar spinal cord,adult
My_pdf826_method,My_pdf826_method_480_679,"Mice were allowed several days of habituation and were used between 6-9 weeks of age, a range that corresponds to early symptom development extending to approximately the midpoint of symptom severity",6-9 weeks
My_pdf888_method,My_pdf888_method_6445_6516,Quadriceps muscles from 16-week-old mice were snap frozen in isopentane,16 weeks
My_pdf268new_method,My_pdf268new_method_208_402,"Adult male Sprague-Dawley rats (150-250 g at start of study; Charles River Laboratories, Raleigh, NC) were housed in pairs on a 12-h light/dark cycle and were given free access to food and water",adult
My_pdf509new_method,My_pdf509new_method_2076_2304,"The resulting 5 microliter mixture was implanted into the right frontal lobes of C57BL/6 mice aged 6-8 weeks using an automated microsyringe (Hamilton Co., Reno, NV) and a stereotactic mouse frame (Kopf Instruments, Tujunga, CA)",6-8 weeks
My_pdf333new_method,My_pdf333new_method_42_127,Thirty-two adult male Wistar rats weighing 250-300 g at the time of surgery were used,adult
My_pdf216new_method,My_pdf216new_method_28_135,"Adult male Kuo:Wistar rats (250-300 g) (National Animal Center, Kuopio, Finland) were used in these studies",adult
My_pdf216new_method,My_pdf216new_method_4550_4655,The effects of the drugs were tested in adult rats (250-350 g) in a counterbalanced order every third day,adult
My_pdf605_method,My_pdf605_method_1379_1526,Three month old male C57BL/6 mice were purchased from Charles River Laboratories and allowed to acclimatize to the laboratory conditions for a week,3 months
My_pdf135new_method,My_pdf135new_method_422_634,"For this study 194 male Swiss mice at 6-8 weeks of age (Federal University of São Carlos, SP, Brazil) were housed in groups of 10 per cage (cage size: 41 cm 34 cm 16 cm) or in pairs (cage size: 30 cm 19 cm 13 cm)",6-8 weeks
My_pdf80new_method,My_pdf80new_method_1447_1537,Mice used in these studies were 2-3 month old males with a mixed C57BL/6 6 129S background,2-3 months
My_pdf257new_method,My_pdf257new_method_626_803,"Twenty-two male Sprague-Dawley rats (Charles River Laboratories, Stone Ridge, NY) weighing between 278 and 315 g were anesthetized with isoflurorane (2-4%; O$_{2}$ 1 liter/ min)",AGE NOT SPECIFIED
My_pdf667_method,My_pdf667_method_428_569,"Adult female C57BL/6 mice (10-12 weeks of age, 20 2 g) were purchased from Vital River Experimental Animal Center of Beijing (Beijing, China)",10-12 weeks
My_pdf568new_method,My_pdf568new_method_122_244,Neonatal stroke (focal brain ischemia with reperfusion in the 7-day-old rat) was carried out according to Renolleau et al.,7 days
My_pdf568new_method,My_pdf568new_method_251_473,"For HI, 8-day-old rats or alternatively 9-day-old mice were subjected to unilateral ligation of the left carotid artery, followed by hypoxia (7.8% O$_{2}$ for rats and 10% O$_{2}$ for mice, 36 1 C) for 50 min, as described","8 days, 9 days"
My_pdf568new_method,My_pdf568new_method_478_576,"For drug-induced excitotoxicity, ibotenate was administered i.c.v. to 5-day-old mice, as described",5 days
My_pdf568new_method,My_pdf568new_method_3188_3289,I.v. administration of TRP601 to 7-day-old rats was carried out intrajugularly using 27-gauge needles,7 days
My_pdf893_method,My_pdf893_method_75_273,"Adult male Sprague-Dawley rats (200-250 g) purchased from Charles River (Saint-Constant, Quebec, Canada) were routinely tested for common pathogens and were free of infection at the onset of surgery",adult
My_pdf144new_method,My_pdf144new_method_133_307,"Eight-weekold female Sprague-Dawley rats (Animal Center of Chinese People's Army Military Medical and Scientific Academy, Beijing, China, SCXK2007-004) were used in our study",8 weeks
My_pdf144new_method,My_pdf144new_method_3849_3952,We used 8-10-week-old adult female Sprague-Dawley rats (weight 180-240 g) for the present in vivo study,8-10 weeks
My_pdf632_method,My_pdf632_method_323_486,"Seven-day-old Sprague-Dawley rat pups of either sex, weighing between 12 and 16 g (Charles River Laboratories, Wilmington, MA) were anesthetized with 3% isoflurane",7 days
My_pdf385new_method,My_pdf385new_method_851_925,Behavioral testing started when animals reached adulthood (90 days of age),90 days
My_pdf385new_method,My_pdf385new_method_928_1011,"For Experiment 2, male young (3-months-old) and aged (23-months-old) rats were used","3 months, 23 months"
My_pdf385new_method,My_pdf385new_method_1392_1440,"For Experiment 4, aged (23-months-old) were used",23 months
My_pdf385new_method,My_pdf385new_method_1630_1873,All experimental procedures were performed in accordance with the NIH Guide for Care and Use of Laboratory Animals (NIH publication No. 80-23 revised 1996) and approved by the Ethics Committee of the Pontifical Catholic University (CEP-996/04),AGE NOT SPECIFIED
My_pdf661_method,My_pdf661_method_34_203,"A total of 60 adult male C57BL/6 mice (age, 12-14 weeks; weight, 18-22 g) were purchased from Beijing Vital River Laboratory Animal Technology Co., Ltd. (Beijing, China)",12-14 weeks
My_pdf948_method,My_pdf948_method_67_139,"Adult male Sprague Dawley rats (weight, > 300 g) were used in this study",adult
My_pdf569new_method,My_pdf569new_method_4238_4316,Mice (4 months of age) were divided into four groups (15 mice per each group):,4 months
My_pdf276new_method,My_pdf276new_method_34_137,Adult male Wistar rats (150-200 g) bred in Central Animal House facility of Panjab University were used,adult
My_pdf394new_method,My_pdf394new_method_20_296,"Young (4 months), middle-aged (12 months) and aged mice (24 months) with a C57BL/6J background were purchased from the Animal Center of Shandong University, and were maintained in a vivarium at 22°C with a 12-h alternating light/dark cycle, and given food and water ad libitum","4 months, 12 months, 24 months"
My_pdf145new_method,My_pdf145new_method_642_778,"Male SD rats (9-11 weeks old) were treated with pilocarpine (380 mg/kg, i.p.) at 20 minutes after atropine methylbromide (5 mg/kg, i.p.)",9-11 weeks
My_pdf42new_method,My_pdf42new_method_1005_1242,"Male five-week-old nude mice (BALB/cAJc1-nu/nu) weighing 20-25 g (Clea Japan, Osaka, Japan) were housed in an approved specific pathogen-free facility at Kobe University in accordance with Laboratory Animal Resources Commission standards",5 weeks
My_pdf586_method,My_pdf586_method_2632_2884,"Male ICR mice (5 weeks of age; Orient, Inc., Seongnam, Korea) weighing 25-28 g were housed in plastic cages with access to food and water ad libitum and maintained in a controlled environment (20 ° C-2 ° C, humidity 50%-10%, 12-h light/12-h dark cycle)",5 weeks
My_pdf130new_method,My_pdf130new_method_223_356,"Healthy male Sprague-dawley rats (weight, 200-250 g; age, 9-11 weeks, n=12) were obtained from the Animal center of dalian University",9-11 weeks
My_pdf528new_method,My_pdf528new_method_41_278,"Male C57BL/6 mice (8 weeks old, weighing 20-23 g; Orient Bio, Inc., Republic of Korea) were housed at room temperature (22 ± 3 $^{∘}$C) under a standard 12 h light/dark cycle (lights on at 07:00 h) with unlimited access to food and water",8 weeks
My_pdf508new_method,My_pdf508new_method_1881_2309,"To induce meningitis, newborn Sprague-Dawley rats (Orient Co, Seoul, Korea) were anesthetized using 2% isoflurane in oxygen enriched air, and 5 × 10 2 CFU of EC5ME inoculum in 10 µl of normal saline were slowly infused into the left ventricle under stereotactic guidance (Digital Stereotaxic Instrument with Fine Drive, MyNeurolab, St. Louis, MO; coordinates: x =-0.5 mm, y =+ 1.3 mm, z = + 3.0 mm relative to the bregma) at P11",newborn
My_pdf947_method,My_pdf947_method_439_798,"Three-month-old APPV717I mice (C57BL/6J mice carrying mutated human APP-CT100 containing the London mutation V717I) and C57BL/6J mice (non-transgenic inbred mice, as vehicle controls), both half male and half female, were purchased from the Institute of Experimental Animals, Chinese Academy of Medical Sciences & Peking Union Medical College (Beijing, China)",3 months
My_pdf947_method,My_pdf947_method_1440_1799,"Three-month-old APPV717I mice (C57BL/6J mice carrying mutated human APP-CT100 containing the London mutation V717I) and C57BL/6J mice (non-transgenic inbred mice, as vehicle controls), both half male and half female, were purchased from the Institute of Experimental Animals, Chinese Academy of Medical Sciences & Peking Union Medical College (Beijing, China)",3 months
My_pdf947_method,My_pdf947_method_2441_2593,Three-month-old APPV717I transgenic mice were randomly divided into ten groups (n =12 per group) and intragastrically administrated vehicle or medicines,3 months
My_pdf947_method,My_pdf947_method_2923_3025,Three-month-old C57BL/6J mice as vehicle controls (n =12) were given 0.5%CMC for 4 or 8 months as well,3 months
My_pdf332new_method,My_pdf332new_method_353_512,"The work was conducted on 40 aged albino rats (≥ 22 months old), weighing 200-250 g, allowed for food and water ad libitum through the whole period of the work",≥22 months
My_pdf110new_method,My_pdf110new_method_58_363,"Adult male Wistar rats (specific pathogen-free animals), weighing 200-250 g and aged 4-8 weeks, were supplied by Wei Tong Li Hua Experimental Animal Technology Co., Beijing, China (Experimental Animal Quality Certificate Number: SCXK (Beijing) 2007-0001; Laboratory Animal License Number: Tianjin No. 007)",4-8 weeks
My_pdf186new_method,My_pdf186new_method_42_222,Adult male C57BL/6 mice weighing 20 ± 2 g (4-6 weeks old) were obtained from the Hebei Medical University and housed in groups of five per cage under standard laboratory conditions,4-6 weeks
My_pdf357new_method,My_pdf357new_method_698_741,They were used between 6 and 8 weeks of age,6-8 weeks
My_pdf357new_method,My_pdf357new_method_5515_5625,Male nonobese diabetes/severe combined immunodeficiency (NOD/SCID) and HHD mice were utilized at 6-8 weeks old,6-8 weeks
My_pdf17new_method,My_pdf17new_method_666_958,"One hundred and twelve adult male Sprague-Dawley (SD) rats weighing 250-300 g were purchased from Zhejiang Laboratory Animals Center (Hangzhou, China) and kept under standard housing conditions at a temperature between 20 °C and 23°C with a 12 h light-dark cycle at a relative humidity of 50%",adult
My_pdf291new_method,My_pdf291new_method_1251_1366,Cerebral hypoxia-ischemia was produced in 7-day-old rats using a well established neonatal model of hypoxiaischemia,7 days
My_pdf291new_method,My_pdf291new_method_1813_1992,"In older animals equivalent methods were used except that the duration of hypoxia-ischemia was reduced to either 1 h or 30 min, in 2-week-old and l-month-old animals, respectively","2 weeks, 1 month"
My_pdf291new_method,My_pdf291new_method_3741_3907,Dexamethasone (0.1 mg/kg) or vehicle was administered either 4 h or both 24 h and 5 h prior to hypoxia-ischemia in 2-week-old (n = 40) or l-month-old (n = 49) animals,"2 weeks, 1 month"
My_pdf233new_method,My_pdf233new_method_31_232,"Six ovine fetuses at 85% to 90% gestation, chosen because this is the age at which the fetal sheep begin to hear, 22 were bilaterally deafened and unilaterally implanted with a cochlear electrode array",85% to 90% gestation
My_pdf705_method,My_pdf705_method_21_293,"Adult male Sprague-Dawley rats (Harlan, Indianapolis, IN), weighing 280 to 300g, were housed individually in a temperature-and humidity-controlled environment with a 12-light/dark cycle (lights on at 0700 am) (behavioral experiments were conducted during the light period)",adult
My_pdf488new_method,My_pdf488new_method_65_349,"Six-week-old male C57BL/6 mice were purchased from the Guangdong Medical Laboratory Animal Center (Guangzhou, China) and housed in groups (6/cage) under standard laboratory conditions with a 12 h/12 h light-dark cycle, constant room temperature of 24.0 7 1 ° C, and 50.0 7 5% humidity",6 weeks
My_pdf702_method,My_pdf702_method_20_112,"80 adult male Sprague Dawley rats, 5-6 weeks aged, weight 150-200 g, were used in this study",5-6 weeks
My_pdf265new_method,My_pdf265new_method_42_283,"Adult albino Swiss mice of either sex weighing 25$_{-}$30 g were housed in polypropylene cages in a temperature (25$_{7}$2 $_{1}$C), relative humidity (50$_{-}$70%) and maintained on a 12:12 h light/ dark cycle (lights on 07:00$_{-}$19:00 h)",adult
My_pdf234new_method,My_pdf234new_method_3970_4068,The CXMDj dog (9 weeks of age; n = 1) was sedated with isoflurane by mask inhalation and intubated,9 weeks
My_pdf133new_method,My_pdf133new_method_42_254,Adult male Sprague-Dawley rats weighing 250 g (± 10 g) were approved by the laboratory animal center of Fujian Medical University (qualified number: SCXK min. 2012-0001).Allratswereallowedfreeaccesstofoodandwater,adult
My_pdf162new_method,My_pdf162new_method_70_200,"Adult female Sprague-Dawley rats (180-220 g) were purchased from Beijing Vital River Laboratory Animal Technology (Beijing, China)",adult
My_pdf127new_method,My_pdf127new_method_17822_18084,"A total of 442 adult male C57BL/6 mice (2-to 3-month-old; body weight = 24.1 ± 0.7 g for male, 22.3 ± 0.8 g for female) and 80 aged mice (18-to 20-month-old, 30.7 ± 2.1 for male, 27.1 ± 2.0 for female) (Charles River Laboratories) were used in stroke experiments","2-3 months, 18-20 months"
My_pdf30new_method,My_pdf30new_method_473_625,Adult 6-to 8-wk female wild type (WT) mice (C57BL/6 background) and B6.129S4-Ccr2$^{tm1Ifc}$/J (CCR2 KO) mice were purchased from The Jackson Laboratory,6-8 weeks
My_pdf704_method,My_pdf704_method_31_233,"Female C57BL = 6 mice (7-8 weeks old) were purchased from the Animals Breeding Facility of Sichuan University (Chengdu, Sichuan, China) and maintained under pathogenfree condition in the animal facility",7-8 weeks
My_pdf152new_method,My_pdf152new_method_25_253,"Thirty clean Sprague-Dawley rats of both sexes weighing 150-200 g and aged 6-7 weeks were provided by the Department of Laboratory Animal Science, Traditional Chinese Medicine University, China (license No. SYXK (Gan) 2015-0001)",6-7 weeks
My_pdf14new_method,My_pdf14new_method_34_117,"Thirty-five adult Sprague-Dawley rats (female, 16-20 weeks, 250-290 g) were studied",16-20 weeks
My_pdf83new_method,My_pdf83new_method_238_332,The experimental sheep were female Polypay or Suffolk breeds (age: ≈ 2 years; weight: ≈ 70 kg),2 years
My_pdf847_method,My_pdf847_method_770_1026,"Five-day old (P5) CD-1 mouse pups underwent permanent unilateral carotid artery ligation while kept mildly hypoxic under anesthesia for 15 minutes (transcutaneous oxygen saturation between 85-90%), followed by recovery in a 36°C incubator for 30-60 minutes",5 days
My_pdf822_method,My_pdf822_method_6033_6152,Forty-day-old mice were anesthetized with an intraperitoneal injection of sodium pentobarbital (62.5 mg/kg body weight),40 days
My_pdf129new_method,My_pdf129new_method_463_541,Eight-week-old male Sprague-Dawley rats weighing 250 ± 50 g were used (n = 72),8 weeks
My_pdf831_method,My_pdf831_method_42_112,The studies were carried out on adult male Sprague Dawley rats (n =24),adult
My_pdf420new_method,My_pdf420new_method_20_207,"Two hundred healthy adult male Sprague-Dawley rats, weighing 250-300 g, were obtained from the Centre for Laboratory Animals, Southern Medical University (permit no. SCXK (Yue) 2011-0015)",adult
My_pdf606_method,My_pdf606_method_31_334,"Adult female mice 6-8 weeks old were anesthetized with ketamine and xylazine (100 and 15 mg/kg, respectively) and subjected to a compression injury for 1 min at the T9 level, by means of a 30-g vascular clip (Kent Scientific Corporation, Torrington, CT), as previously described by Marques and coworkers",6-8 weeks
My_pdf662_method,My_pdf662_method_327_420,A total of 24 male C57BL/6 mice (aged 12~20 weeks) were respectively divided into four groups,12-20 weeks
My_pdf662_method,My_pdf662_method_1905_2135,"Briefly, 30 male C57BL/6 mice (aged 10-12 weeks) were subjected to intrathecal injection with let-7a-1-3p inhibitor+ let-7a-2-3p inhibitor (10 μ l/day) for 3 days at dura mater extends between L5-L6 before 72 h model establishment",10-12 weeks
My_pdf830_method,My_pdf830_method_610_705,Fourteen adult cats (5 males and 9 females) weighing 2.5 to 6.1 kg at time of surgery were used,adult
My_pdf501new_method,My_pdf501new_method_38_139,"Nineteen-month-old male Fischer 344 rats (Harlan Sprague-Dawley, Indianapolis, IN, USA) were employed",19 months
My_pdf434new_method,My_pdf434new_method_470_568,108 healthy male Wistar rats aged 15-16 months and weighing 316 ± 20 g were used in the experiment,15-16 months
My_pdf158new_method,My_pdf158new_method_173_267,"Two hundred, 8-week-old male CD1 mice (weight 25-35g, Charles River, Wilmington, MA) were used",8 weeks
My_pdf118new_method,My_pdf118new_method_383_502,"The animals were 3 or 4 years old, weighed between 18 and 21 kg each, and were maintained on a standard laboratory diet",3-4 years
My_pdf786_method,My_pdf786_method_34_320,"Female C57BL/6 mice (weighing 18-20 g, aged 8-10 weeks) were purchased from the Chengdu Dashuo laboratory animal Company (Number: 17-199 SPFC57), and reared in the animal room of Southwest Medical University at a room temperature of 24 ± 2 ° C, and maintained on a 12 h light/dark cycle",8-10 weeks
My_pdf474new_method,My_pdf474new_method_55_202,Adult male Wistar rats (140-160 g) were kept at a room temperature of 22 ± 1 °C with free access to fresh food and water in a 12 h light/dark cycle,adult
My_pdf497new_method,My_pdf497new_method_142_255,Experiments were performed using young adult (10$_{e}$11 weeks old) and grossly healthy aged (20 months old) mice,"10-11 weeks, 20 months"
My_pdf510new_method,My_pdf510new_method_236_395,Thirty-five adult Wistar male rats weighing 230-250 g provided by the animal experimental center of Iran University of Medical Sciences were used in this study,adult
My_pdf945_method,My_pdf945_method_513_814,"57 rats were lesioned, transplanted and used for the neuroanatomical and behavioral study (37 two-week-old rats, 10 seven-week-old rats, 10 twelve-week-old rats), 12 two-week-old rats were lesioned and used for the behavioral study, and 7 two-week-old rats were used as control in the behavioral study","2 weeks, 7 weeks, 12 weeks, 2 weeks"
My_pdf910_method,My_pdf910_method_1406_1569,In this study we used adult male Wistar rats (200-250 g) from the animal breeding facility of the School of Exact and Natural Sciences (University of Buenos Aires),adult
My_pdf444new_method,My_pdf444new_method_1053_1319,Kainic acid (1 m l of a 0.06 m g/ m l solution; Sigma) or 3AP (1.5 m l of a 20% solution; Sigma) was injected unilaterally via Hamilton syringe into the hippocampus of adult male Sprague-Dawley rats (250-300 g; Simonsen Labs) at the following stereotaxic coordinates,adult
My_pdf444new_method,My_pdf444new_method_2130_2396,Kainic acid (1 m l of a 0.06 m g/ m l solution; Sigma) or 3AP (1.5 m l of a 20% solution; Sigma) was injected unilaterally via Hamilton syringe into the hippocampus of adult male Sprague-Dawley rats (250-300 g; Simonsen Labs) at the following stereotaxic coordinates,adult
My_pdf944_method,My_pdf944_method_540_777,"A total of 70 healthy Wistar rats (male:female ratio 1:1), specific pathogen-free grade, weighing 200-280g, and aged 8weeks, were supplied by Beijing Vital River Laboratory Animal Technology Co, Ltd (licence no. SCXK-(Beijing)-2012-0001)",8 weeks
My_pdf988_method,My_pdf988_method_886_962,Forty male Wistar rats (280-310 g) from the same supplier served as subjects,AGE NOT SPECIFIED
My_pdf169new_method,My_pdf169new_method_330_375,Twelve-week-old female C57/B6J mice were used,12 weeks
My_pdf59new_method,My_pdf59new_method_673_732,Mice were 6 months of age when the treatment protocol began,6 months
My_pdf473new_method,My_pdf473new_method_42_293,"Outbred, young (3 to 4 months old), male Sprague-Dawley rats with an average weight of 250-350 g were housed in groups of 4, in a constant temperature room (21 T 0.5-C), under a 12/12-h light/dark cycle and had free access to food and water ad libitum",3-4 months
My_pdf457new_method,My_pdf457new_method_10_66,Young male KUO:Wistar rats (3 months old) (n = 128) were,3 months
My_pdf952_method,My_pdf952_method_297_382,"Female C57BL/6 mice, aged 6-8 weeks, were from Charles River Breeding (Cambridge, MA)",6-8 weeks
My_pdf188new_method,My_pdf188new_method_493_612,Adult male C57BL/6 mice (20 e 25 g; 8 e 12 weeks) were purchased from Vital River Laboratory Animal Technology Co. Ltd.,8-12 weeks
My_pdf818_method,My_pdf818_method_5462_5642,LN229 and U251 cells transfected with luciferase lentivirus (LN229-luc and U251-luc) were used to be injected into the intracranial site of 4-week old female nude mice as described,4 weeks
My_pdf672_method,My_pdf672_method_710_903,"Male spontaneously hypertensive rats (SHR; 13 weeks old; n=9/group) were housed in standard conditions (under a 12 hours light/dark cycle), food and water were available ad libitum at all times",13 weeks
My_pdf829_method,My_pdf829_method_2043_2146,Six-week-old CD1 mice (35-40 g) were anesthetized with tribromoethanol (100 μ l/10 g) i.p.-administered,6 weeks
My_pdf456new_method,My_pdf456new_method_28_143,"Pathogen-free male and female C57BL/6 mice, 8 weeks of age, were purchased from Charles River Breeding Laboratories",8 weeks
My_pdf39new_method,My_pdf39new_method_34_123,"Three-month-old female Wistar rats were purchased from CLEA Japan, Inc. (Shizuoka, Japan)",3 months
My_pdf618_method,My_pdf618_method_399_578,Mice weighing 18-22 g (9-14 weeks) were bred overnight marking gestation day 0 (GD 0) under specific pathogen-free conditions at the Animal Research Institute of Tohoku University,9-14 weeks
My_pdf629_method,My_pdf629_method_4261_4335,Ten-to-twelve weeks old C57BL/6 mice were used for all in vivo experiments,10-12 weeks
My_pdf861_method,My_pdf861_method_946_1100,"Kunming mice (male, 18-22 g, aged 5-6 weeks) were obtained from the Experimental Animal Center of Southern Medical University (License key: SCXY2016-0167)",5-6 weeks
My_pdf307new_method,My_pdf307new_method_1665_1794,The CPZ-induced demyelination model was established in male C57BL/6 mice (10-12 weeks of age) as described by Sachs et al. (2014),10-12 weeks
My_pdf206new_method,My_pdf206new_method_443_562,"At the time of the experiment, the young adult animals were 4 months of age, and the aged animals were 18 months of age","4 months, 18 months"
My_pdf894_method,My_pdf894_method_41_210,"Independent groups of naive male 3-month-old Wistar rats (Hellenic Pasteur Institute, Athens, Greece), weighing 250-300 g, were used in each of the described experiments",3 months
My_pdf121new_method,My_pdf121new_method_524_590,Age-matched male mice of 8 months old were used in all experiments,8 months
My_pdf53new_method,My_pdf53new_method_2949_3058,Eight-week-old C57BL/6 female mice received 50 μ l direct intramuscular injections into the tibialis anterior,8 weeks
My_pdf313new_method,My_pdf313new_method_581_739,Littermate-and bodyweight-matched SOD1 G93A female mice were randomly divided into the VEGF-treated group and the GFP control group (n = 15) at 60 days of age,60 days
My_pdf478new_method,My_pdf478new_method_11289_11423,"As described previously (Erschbamer et al., 2007; Aleksic' et al., 2014), surgery was performed on C57BL/6J mice at 10-12 weeks of age",10-12 weeks
My_pdf95new_method,My_pdf95new_method_225_368,"Adult Sprague-Dawley rats (male and female, Harlan Sprague-Dawley, Indianapolis IN) weighing 150-250 g (6-8 weeks old) were used for this study",6-8 weeks
My_pdf915_method,My_pdf915_method_2179_2250,Glutamine treatment was initiated when Tsc2CKO mice were 1 month of age,1 month
My_pdf915_method,My_pdf915_method_2430_2556,"One month old Tsc2CKO mice were given 2 daily doses of either 3 g/kg glutamine or saline, 5 days a week for 2 weeks via gavage",1 month
My_pdf161new_method,My_pdf161new_method_254_443,"Five-week-old male Sprague-Dawley rats were obtained from SLAC Laboratory Animal Co. Ltd., Shanghai, China, and were housed in Zhejiang Chinese Medical University (No. SYXK (zhe) 2013-0184)",5 weeks
My_pdf940_method,My_pdf940_method_2427_2530,SOD1 G93A transgenic mice and wild-type littermates at 6 weeks after birth were used in this experiment,6 weeks
My_pdf724_method,My_pdf724_method_7349_7420,The extract was administered by oral gavage to 6-8 week old C57Bl6 mice,6-8 weeks
My_pdf390new_method,My_pdf390new_method_690_922,"To ensure that the same generation of ratswere included, female rats with 200-300 g of body weights were fertilized and newborn male pups were divided into two groups, the 7 days old group and the 14 days old group (35 rats in each)","7 days, 14 days"
My_pdf390new_title^abstract,My_pdf390new_title^abstract_473_578,"Young male Wistar rats were studied in two groups, a 7 days old and a 14 days old group (35 rats in each)","7 days, 14 days"
My_pdf723_method,My_pdf723_method_147_255,"The male C57BL/6 mice aged 9-11 weeks used in this study were purchased from CLEA Japan Inc. (To kyo, Japan)",9-11 weeks
My_pdf134new_method,My_pdf134new_method_1736_1844,Mice were recruited into the study at the age of 60 days and were trained on the rotarod for 7 min at 10 rpm,60 days
My_pdf322new_method,My_pdf322new_method_43_304,A total of 48 locally bred young (∼ 2-4 month old) male and female Fisher 344 × Brown Norway hybrid (FBN) rats were socially housed in a temperature-controlled environment (∼ 22 $^{·}$C) with a 12 h light/dark cycle and met all inclusion criterion defined below,2-4 months
My_pdf741_method,My_pdf741_method_1406_1514,The experiments were performed on adult male ASC mice (aged 3 to 4 months; the 32nd generation of selection),3-4 months
My_pdf549new_method,My_pdf549new_method_2319_2440,"Male Wistar rats (Tel Aviv University Medical School, Israel) approximately 3 months old and weighing 350-450 g were used",3 months
My_pdf905_method,My_pdf905_method_940_1010,Sex-matched mice at the age of 7-12 weeks were used in all experiments,7-12 weeks
My_pdf870_method,My_pdf870_method_6233_6495,"Adult male Sprague-Dawley (SD) rats (7-8 weeks, weighing 240-260 g) were purchased from Samtako Bio Korea (Osan, Korea) and maintained under temperature-and lightcontrolled conditions (20-23 °C, 12 h light/12 h dark cycle) with food and water provided ad libitum",7-8 weeks
My_pdf823_method,My_pdf823_method_324_392,"Male 10-week-old ddY mice (SLC, Inc., Japan) were used in this study",10 weeks
My_pdf823_method,My_pdf823_method_394_500,"Male 10-week-old SHRs (SHR/Hos, SPF) were purchased from Hoshino Laboratory Animals, Inc. (Ibaraki, Japan)",10 weeks
My_pdf167new_method,My_pdf167new_method_20_160,"Ten male New Zealand white rabbits, 3 months old and weighing 2.5-3.0 kg (mean weight 2.73 kg), were provided with a standard diet and water",3 months
My_pdf815_method,My_pdf815_method_183_284,"Male C57BL6/J mice between ages 8 and 10 weeks were purchased from Jackson Laboratory (Bar Harbor, ME",8-10 weeks
My_pdf334new_method,My_pdf334new_method_34_126,"Male C57BL/6 mice (Nihon SLC Co., Shizuoka, Japan) six weeks of age, were used in this study",6 weeks
